riderID,startTime,endTime,duration,day
1,13:00:00,15:00:00,2,1
1,16:00:00,18:00:00,2,1
1,19:00:00,21:00:00,2,1
1,13:00:00,15:00:00,2,2
1,16:00:00,18:00:00,2,2
1,19:00:00,21:00:00,2,2
1,13:00:00,15:00:00,2,3
1,16:00:00,18:00:00,2,3
1,19:00:00,21:00:00,2,3
1,13:00:00,15:00:00,2,4
1,16:00:00,18:00:00,2,4
1,19:00:00,21:00:00,2,4
1,13:00:00,15:00:00,2,5
1,16:00:00,18:00:00,2,5
1,19:00:00,21:00:00,2,5
1,13:00:00,15:00:00,2,6
1,16:00:00,18:00:00,2,6
1,19:00:00,21:00:00,2,6
1,13:00:00,15:00:00,2,7
1,16:00:00,18:00:00,2,7
1,19:00:00,21:00:00,2,7
2,10:00:00,12:00:00,2,1
2,13:00:00,15:00:00,2,1
2,16:00:00,18:00:00,2,1
2,10:00:00,12:00:00,2,2
2,13:00:00,15:00:00,2,2
2,16:00:00,18:00:00,2,2
2,10:00:00,12:00:00,2,3
2,13:00:00,15:00:00,2,3
2,16:00:00,18:00:00,2,3
2,10:00:00,12:00:00,2,4
2,13:00:00,15:00:00,2,4
2,16:00:00,18:00:00,2,4
2,10:00:00,12:00:00,2,5
2,13:00:00,15:00:00,2,5
2,16:00:00,18:00:00,2,5
2,10:00:00,12:00:00,2,6
2,13:00:00,15:00:00,2,6
2,16:00:00,18:00:00,2,6
2,10:00:00,12:00:00,2,7
2,13:00:00,15:00:00,2,7
2,16:00:00,18:00:00,2,7
3,12:00:00,14:00:00,2,1
3,15:00:00,17:00:00,2,1
3,18:00:00,20:00:00,2,1
3,12:00:00,14:00:00,2,2
3,15:00:00,17:00:00,2,2
3,18:00:00,20:00:00,2,2
3,12:00:00,14:00:00,2,3
3,15:00:00,17:00:00,2,3
3,18:00:00,20:00:00,2,3
3,12:00:00,14:00:00,2,4
3,15:00:00,17:00:00,2,4
3,18:00:00,20:00:00,2,4
3,12:00:00,14:00:00,2,5
3,15:00:00,17:00:00,2,5
3,18:00:00,20:00:00,2,5
3,12:00:00,14:00:00,2,6
3,15:00:00,17:00:00,2,6
3,18:00:00,20:00:00,2,6
3,12:00:00,14:00:00,2,7
3,15:00:00,17:00:00,2,7
3,18:00:00,20:00:00,2,7
4,11:00:00,13:00:00,2,1
4,14:00:00,16:00:00,2,1
4,17:00:00,19:00:00,2,1
4,11:00:00,13:00:00,2,2
4,14:00:00,16:00:00,2,2
4,17:00:00,19:00:00,2,2
4,11:00:00,13:00:00,2,3
4,14:00:00,16:00:00,2,3
4,17:00:00,19:00:00,2,3
4,11:00:00,13:00:00,2,4
4,14:00:00,16:00:00,2,4
4,17:00:00,19:00:00,2,4
4,11:00:00,13:00:00,2,5
4,14:00:00,16:00:00,2,5
4,17:00:00,19:00:00,2,5
4,11:00:00,13:00:00,2,6
4,14:00:00,16:00:00,2,6
4,17:00:00,19:00:00,2,6
4,11:00:00,13:00:00,2,7
4,14:00:00,16:00:00,2,7
4,17:00:00,19:00:00,2,7
5,12:00:00,14:00:00,2,1
5,15:00:00,17:00:00,2,1
5,18:00:00,20:00:00,2,1
5,12:00:00,14:00:00,2,2
5,15:00:00,17:00:00,2,2
5,18:00:00,20:00:00,2,2
5,12:00:00,14:00:00,2,3
5,15:00:00,17:00:00,2,3
5,18:00:00,20:00:00,2,3
5,12:00:00,14:00:00,2,4
5,15:00:00,17:00:00,2,4
5,18:00:00,20:00:00,2,4
5,12:00:00,14:00:00,2,5
5,15:00:00,17:00:00,2,5
5,18:00:00,20:00:00,2,5
5,12:00:00,14:00:00,2,6
5,15:00:00,17:00:00,2,6
5,18:00:00,20:00:00,2,6
5,12:00:00,14:00:00,2,7
5,15:00:00,17:00:00,2,7
5,18:00:00,20:00:00,2,7
6,10:00:00,12:00:00,2,1
6,13:00:00,15:00:00,2,1
6,16:00:00,18:00:00,2,1
6,10:00:00,12:00:00,2,2
6,13:00:00,15:00:00,2,2
6,16:00:00,18:00:00,2,2
6,10:00:00,12:00:00,2,3
6,13:00:00,15:00:00,2,3
6,16:00:00,18:00:00,2,3
6,10:00:00,12:00:00,2,4
6,13:00:00,15:00:00,2,4
6,16:00:00,18:00:00,2,4
6,10:00:00,12:00:00,2,5
6,13:00:00,15:00:00,2,5
6,16:00:00,18:00:00,2,5
6,10:00:00,12:00:00,2,6
6,13:00:00,15:00:00,2,6
6,16:00:00,18:00:00,2,6
6,10:00:00,12:00:00,2,7
6,13:00:00,15:00:00,2,7
