customerID,riderID,orderID,rating
60,1,1,3
11,2,2,1
129,3,3,1
7,4,4,1
96,5,5,1
138,6,6,5
119,7,7,2
115,8,8,5
53,9,9,3
107,10,10,2
35,11,11,3
135,12,12,5
80,13,13,2
63,14,14,5
60,15,15,1
13,16,16,1
32,17,17,1
20,18,18,4
90,19,19,3
76,20,20,5
18,21,21,3
97,22,22,1
15,23,23,1
113,24,24,5
40,25,25,5
115,26,26,5
41,27,27,1
148,28,28,5
113,29,29,5
51,30,30,3
143,31,31,4
92,32,32,3
83,33,33,2
103,34,34,1
111,35,35,5
6,36,36,5
133,37,37,2
69,38,38,2
59,39,39,3
92,40,40,1
73,41,41,1
104,42,42,5
91,43,43,4
35,44,44,3
68,45,45,2
127,46,46,2
147,47,47,2
15,48,48,2
53,49,49,4
20,50,50,2
9,51,51,4
21,52,52,1
63,53,53,5
15,54,54,1
106,55,55,2
23,56,56,5
80,57,57,5
73,58,58,2
68,59,59,5
97,60,60,2
76,61,61,3
117,62,62,1
46,63,63,4
10,64,64,4
82,65,65,2
7,66,66,5
12,67,67,4
10,68,68,5
88,69,69,3
1,70,70,3
52,71,71,4
60,72,72,1
140,73,73,3
126,74,74,4
83,75,75,1
103,76,76,4
29,77,77,5
92,78,78,5
80,79,79,2
125,80,80,3
77,81,81,1
104,82,82,1
106,83,83,1
149,84,84,5
71,85,85,4
36,86,86,4
2,87,87,2
63,88,88,5
121,89,89,1
56,90,90,1
124,91,91,4
129,92,92,5
114,93,93,3
63,94,94,5
54,95,95,3
113,96,96,5
131,97,97,2
69,98,98,1
47,99,99,4
94,100,100,3
25,1,101,3
16,2,102,4
57,3,103,5
105,4,104,5
94,5,105,2
120,6,106,4
124,7,107,4
58,8,108,2
25,9,109,1
83,10,110,4
32,11,111,1
26,12,112,3
72,13,113,4
133,14,114,1
2,15,115,2
98,16,116,3
124,17,117,5
66,18,118,4
67,19,119,1
70,20,120,4
43,21,121,2
90,22,122,4
116,23,123,2
39,24,124,4
53,25,125,1
126,26,126,1
129,27,127,2
31,28,128,3
110,29,129,4
69,30,130,4
48,31,131,1
88,32,132,5
45,33,133,4
19,34,134,5
97,35,135,2
44,36,136,3
64,37,137,4
34,38,138,1
94,39,139,4
144,40,140,5
97,41,141,3
40,42,142,5
103,43,143,3
35,44,144,2
122,45,145,4
48,46,146,2
122,47,147,5
47,48,148,1
39,49,149,5
86,50,150,4
14,51,151,5
114,52,152,3
73,53,153,2
114,54,154,2
25,55,155,2
45,56,156,2
93,57,157,5
52,58,158,1
84,59,159,2
87,60,160,1
144,61,161,5
11,62,162,4
10,63,163,5
36,64,164,1
112,65,165,1
108,66,166,5
63,67,167,5
26,68,168,2
139,69,169,5
62,70,170,4
47,71,171,2
41,72,172,1
74,73,173,3
86,74,174,1
120,75,175,3
132,76,176,1
24,77,177,1
86,78,178,5
50,79,179,5
55,80,180,1
98,81,181,5
62,82,182,3
40,83,183,3
7,84,184,2
97,85,185,4
82,86,186,2
140,87,187,2
135,88,188,4
137,89,189,1
8,90,190,5
90,91,191,4
141,92,192,4
21,93,193,1
144,94,194,4
106,95,195,1
145,96,196,4
32,97,197,4
21,98,198,1
26,99,199,3
150,100,200,4
3,1,201,4
16,2,202,3
115,3,203,2
45,4,204,3
42,5,205,5
80,6,206,5
119,7,207,3
107,8,208,5
107,9,209,3
68,10,210,1
125,11,211,1
57,12,212,5
97,13,213,1
141,14,214,5
77,15,215,3
101,16,216,3
95,17,217,2
85,18,218,5
130,19,219,5
15,20,220,1
5,21,221,5
26,22,222,5
91,23,223,3
27,24,224,1
96,25,225,3
117,26,226,5
107,27,227,1
102,28,228,5
119,29,229,4
21,30,230,5
113,31,231,5
132,32,232,1
52,33,233,2
45,34,234,4
90,35,235,5
31,36,236,1
39,37,237,4
113,38,238,1
111,39,239,3
89,40,240,4
108,41,241,4
115,42,242,1
58,43,243,1
29,44,244,5
80,45,245,5
10,46,246,4
86,47,247,5
145,48,248,5
79,49,249,1
15,50,250,1
79,51,251,2
149,52,252,4
147,53,253,4
87,54,254,4
8,55,255,4
76,56,256,4
30,57,257,4
34,58,258,1
55,59,259,3
96,60,260,5
125,61,261,2
91,62,262,2
137,63,263,4
48,64,264,1
32,65,265,2
87,66,266,1
21,67,267,4
135,68,268,3
11,69,269,5
76,70,270,3
37,71,271,1
30,72,272,4
59,73,273,3
2,74,274,5
18,75,275,2
108,76,276,2
27,77,277,5
32,78,278,1
78,79,279,2
75,80,280,3
73,81,281,4
109,82,282,3
4,83,283,2
126,84,284,3
72,85,285,5
67,86,286,2
16,87,287,5
6,88,288,4
30,89,289,5
109,90,290,2
102,91,291,2
145,92,292,5
45,93,293,2
55,94,294,2
34,95,295,5
14,96,296,2
143,97,297,2
20,98,298,5
4,99,299,1
123,100,300,4
