paymentID,orderID,customerID
1,1,1
2,2,62
3,3,10
4,4,42
5,5,104
6,6,13
7,7,112
8,8,27
9,9,91
10,10,112
11,11,92
12,12,100
13,13,36
14,14,120
15,15,24
16,16,63
17,17,18
18,18,126
19,19,97
20,20,27
21,21,13
22,22,144
23,23,69
24,24,45
25,25,105
26,26,96
27,27,19
28,28,139
29,29,43
30,30,125
31,31,12
32,32,65
33,33,6
34,34,9
35,35,68
36,36,122
37,37,79
38,38,40
39,39,97
40,40,122
41,41,141
42,42,20
43,43,25
44,44,105
45,45,53
46,46,47
47,47,48
48,48,131
49,49,102
50,50,109
51,51,36
52,52,8
53,53,144
54,54,103
55,55,131
56,56,134
57,57,89
58,58,90
59,59,84
60,60,9
61,61,1
62,62,32
63,63,97
64,64,17
65,65,87
66,66,3
67,67,30
68,68,109
69,69,5
70,70,84
71,71,146
72,72,58
73,73,52
74,74,138
75,75,116
76,76,86
77,77,43
78,78,11
79,79,30
80,80,77
81,81,30
82,82,74
83,83,71
84,84,93
85,85,52
86,86,143
87,87,96
88,88,57
89,89,43
90,90,131
91,91,1
92,92,127
93,93,145
94,94,150
95,95,103
96,96,134
97,97,90
98,98,62
99,99,36
100,100,124
101,101,15
102,102,24
103,103,97
104,104,138
105,105,14
106,106,70
107,107,107
108,108,17
109,109,53
110,110,17
111,111,132
112,112,32
113,113,56
114,114,68
115,115,148
116,116,73
117,117,85
118,118,63
119,119,138
120,120,37
121,121,107
122,122,39
123,123,25
124,124,53
125,125,29
126,126,20
127,127,18
128,128,49
129,129,68
130,130,112
131,131,127
132,132,135
133,133,115
134,134,22
135,135,150
136,136,118
137,137,58
138,138,146
139,139,103
140,140,26
141,141,13
142,142,49
143,143,59
144,144,145
145,145,112
146,146,143
147,147,44
148,148,96
149,149,141
150,150,106
151,151,148
152,152,125
153,153,104
154,154,58
155,155,121
156,156,138
157,157,83
158,158,117
159,159,103
160,160,44
161,161,142
162,162,71
163,163,73
164,164,96
165,165,20
166,166,95
167,167,33
168,168,95
169,169,30
170,170,41
171,171,120
172,172,84
173,173,92
174,174,35
175,175,110
176,176,100
177,177,116
178,178,50
179,179,45
180,180,119
181,181,128
182,182,72
183,183,15
184,184,41
185,185,106
186,186,21
187,187,7
188,188,133
189,189,48
190,190,133
191,191,145
192,192,54
193,193,130
194,194,86
195,195,100
196,196,118
197,197,145
198,198,15
199,199,33
200,200,111
201,201,78
202,202,133
203,203,77
204,204,133
205,205,87
206,206,14
207,207,4
208,208,58
209,209,106
210,210,33
211,211,44
212,212,22
213,213,58
214,214,15
215,215,112
216,216,44
217,217,145
218,218,125
219,219,139
220,220,76
221,221,51
222,222,35
223,223,40
224,224,61
225,225,119
226,226,40
227,227,128
228,228,150
229,229,119
230,230,14
231,231,90
232,232,73
233,233,71
234,234,33
235,235,116
236,236,59
237,237,142
238,238,144
239,239,32
240,240,77
241,241,101
242,242,143
243,243,77
244,244,57
245,245,62
246,246,87
247,247,111
248,248,43
249,249,9
250,250,86
251,251,128
252,252,35
253,253,87
254,254,106
255,255,69
256,256,26
257,257,2
258,258,115
259,259,91
260,260,131
261,261,7
262,262,2
263,263,43
264,264,7
265,265,97
266,266,94
267,267,16
268,268,95
269,269,10
270,270,94
271,271,115
272,272,46
273,273,106
274,274,94
275,275,47
276,276,142
277,277,131
278,278,142
279,279,108
280,280,56
281,281,81
282,282,32
283,283,132
284,284,118
285,285,102
286,286,139
287,287,95
288,288,148
289,289,13
290,290,14
291,291,15
292,292,83
293,293,100
294,294,41
295,295,38
296,296,43
297,297,37
298,298,145
299,299,52
300,300,124
